id,draft_year,draft_position,height,height_inches
mccontj01,2016,NA,6-1,73
mccorke01,1980,198,6-7,79
mccorti01,1985,12,6-11,83
mccoyje01,1999,33,6-10,82
mccrach01,2007,NA,6-5,77
mccraro01,1984,3,6-7,79
mccrasc01,1984,36,6-9,81
mccreer01,2018,NA,6-8,80
mcculch01,2016,29,6-11,83
mcculjo01,1980,85,6-4,76
mcculke01,2025,56,6-6,78
mcdancl01,1996,NA,6-4,76
mcdanja01,2020,52,6-9,81
mcdanja02,2021,28,6-9,81
mcdankj01,2015,32,6-6,78
mcdanxa01,1986,4,6-7,79
mcderdo01,2015,11,6-7,79
mcderse01,2021,NA,6-6,78
mcdonbe01,1985,50,6-8,80
mcdonmi01,1996,55,6-10,82
mcdowha01,1982,102,6-9,81
mcdyean01,1996,2,6-9,81
mcelrji01,1976,38,6-3,75
mcfariv01,2007,NA,6-8,80
mcgarmi01,2015,21,6-10,82
mcgeeja01,2009,18,7-0,84
mcgeemi01,1982,19,6-5,77
mcginge01,1974,22,6-8,80
mcgowbr01,2023,40,6-6,78
mcgratr01,1998,9,6-8,80
mcgrica01,2022,NA,6-7,79
mcgruro01,2017,NA,6-4,76
mcguido01,2008,47,6-9,81
mchalke01,1981,3,6-10,82
mcilvji01,1995,32,7-1,85
mcinnje01,1997,37,6-4,76
mckenfo01,1987,48,6-7,79
mckenke01,1982,88,6-5,77
mckeyde01,1988,9,6-10,82
mckieaa01,1995,17,6-5,77
mckinal01,2018,NA,6-7,79
mckinbi01,1978,115,6-0,72
mckinca01,1990,NA,6-4,76
mckintr01,2018,NA,6-5,77
mclauja01,2022,NA,6-4,76
mclaujo01,2020,NA,5-11,71
mclembe01,2014,7,6-3,75
mcleoke01,2004,NA,6-2,74
mcleoro01,1999,20,6-8,80
mcmilna01,1987,30,6-5,77
mcmilto01,1975,9,6-11,83
mcnamma01,1983,22,6-11,83
mcneach01,1984,38,6-7,79
mcneaje01,2015,NA,6-3,75
mcneeli01,2026,29,6-7,79
mcphepa01,2001,NA,6-4,76
mcqueco01,1986,91,6-11,83
mcraejo01,2015,58,6-5,77
mcrobjo01,2008,37,6-10,82
mcveija01,2025,NA,6-8,80
medvest01,2001,NA,6-10,82
meeda01,1994,34,6-5,77
meeksjo01,2010,41,6-4,76
meentsc01,1987,74,6-10,82
mejrisa01,2016,NA,7-2,86
mekelga01,2014,NA,6-3,75
mellini01,2020,NA,6-9,81
melofa01,2013,22,7-0,84
meltode01,2019,46,6-2,74
mengejo01,1972,21,6-2,74
mensana01,2024,NA,6-9,81
mensapo01,2007,NA,6-9,81
mercero01,1998,6,6-7,79
meriwjo01,1976,11,6-10,82
merrisa01,2021,60,6-4,76
metuch01,2019,49,6-10,82
meyerda01,1976,2,6-8,80
meyerlo01,1996,24,6-10,82
michela01,1984,29,6-9,81
micicva01,2015,52,6-3,75
mickejo01,2016,33,6-8,80
middlkh01,2013,39,6-7,79
mihmch01,2001,7,7-0,84
mikaer01,2020,NA,6-10,82
milesaa01,2006,NA,6-1,73
milescj01,2006,34,6-6,78
milesda01,2001,3,6-9,81
milicda01,2004,2,7-0,84
milicma01,1998,34,6-6,78
millean01,1995,39,6-9,81
millean02,2000,8,6-3,75
millebo01,1979,85,6-10,82
millebr01,1999,NA,6-11,83
millebr02,2024,2,6-7,79
milleda01,2013,46,6-6,78
milledi01,1981,40,6-6,78
milleem01,2025,NA,6-5,77
millejo02,2024,48,6-5,77
millele01,2024,33,6-10,82
millema01,2018,NA,6-7,79
millemi01,2001,5,6-8,80
milleol01,1993,22,6-9,81
millequ01,2013,38,6-9,81
millere01,1988,11,6-7,79
millsch01,1994,22,6-6,78
